Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;374.022;145.075;228.947;193.377;63.467;129.91;87.606;37.175;50.431;35.92;16.06;19.86;52.954;27.137;25.817;4.165;1.236;2.929
2;Prov. Jawa Timur;328.64;132.138;196.502;175.084;62.634;112.45;77.41;33.275;44.135;30.758;14.346;16.412;41.876;20.971;20.905;3.512;912;2.6
3;Prov. Jawa Tengah;295.208;114.28;180.928;156.586;51.884;104.702;68.368;28.319;40.049;23.764;10.833;12.931;43.734;22.447;21.287;2.756;797;1.959
4;Prov. Sumatera Utara;180.963;49.55;131.413;97.359;20.656;76.703;41.926;12.998;28.928;21.982;7.71;14.272;18.987;8.039;10.948;709;147;562
5;Prov. Sulawesi Selatan;116.678;34.21;82.468;63.245;15.407;47.838;28.324;9.224;19.1;14.414;5.441;8.973;9.565;3.873;5.692;1.13;265;865
6;Prov. Sumatera Selatan;98.605;28.644;69.961;53.325;14.356;38.969;24.539;7.167;17.372;13.289;4.332;8.957;7.019;2.698;4.321;433;91;342
7;Prov. Banten;95.941;35.994;59.947;52.053;16.461;35.592;20.798;8.882;11.916;10.309;4.666;5.643;11.71;5.702;6.008;1.071;283;788
8;Prov. Lampung;94.59;31.476;63.114;50.789;14.576;36.213;22.322;8.021;14.301;10.888;4.041;6.847;10.163;4.707;5.456;428;131;297
9;Prov. Nusa Tenggara Timur;93.874;36.113;57.761;46.854;15.73;31.124;25.666;10.624;15.042;13.779;6.171;7.608;6.944;3.39;3.554;631;198;433
10;Prov. Aceh;85.375;20.593;64.782;43.223;9.278;33.945;21.321;5.116;16.205;13.67;3.774;9.896;6.24;2.235;4.005;921;190;731
11;Prov. Riau;84.733;22.786;61.947;46.777;11.325;35.452;18.731;5.132;13.599;11.091;3.344;7.747;7.577;2.862;4.715;557;123;434
12;Prov. D.K.I. Jakarta;80.47;28.203;52.267;37.95;10.666;27.284;18.83;7.4;11.43;11.032;4.597;6.435;11.382;5.193;6.189;1.276;347;929
13;Prov. Sumatera Barat;77.453;17.548;59.905;40.76;8.035;32.725;17.064;4.087;12.977;10.916;2.709;8.207;7.342;2.51;4.832;1.371;207;1.164
14;Prov. Nusa Tenggara Barat;68.439;28.843;39.596;35.186;13.374;21.812;17.561;7.7;9.861;8.401;4.071;4.33;6.623;3.474;3.149;668;224;444
15;Prov. Kalimantan Barat;59.918;22.921;36.997;33.835;11.888;21.947;14.412;5.816;8.596;7.27;3.13;4.14;4.186;2.026;2.16;215;61;154
16;Prov. Bali;46.423;19.786;26.637;23.747;9.052;14.695;11.27;5.122;6.148;5.419;2.757;2.662;5.607;2.708;2.899;380;147;233
17;Prov. Jambi;45.015;14.611;30.404;24.401;7.168;17.233;10.442;3.6;6.842;5.691;2.032;3.659;4.121;1.724;2.397;360;87;273
18;Prov. Kalimantan Selatan;44.608;15.537;29.071;27.024;8.965;18.059;8.808;3.089;5.719;4.499;1.757;2.742;3.674;1.543;2.131;603;183;420
19;Prov. Kalimantan Timur;43.232;15.156;28.076;23.627;7.197;16.43;9.907;3.839;6.068;4.549;1.862;2.687;4.753;2.152;2.601;396;106;290
20;Prov. Sulawesi Tengah;42.82;14.227;28.593;23.462;6.831;16.631;10.381;3.727;6.654;5.098;2.095;3.003;3.636;1.518;2.118;243;56;187
21;Prov. Sulawesi Tenggara;42.517;14.307;28.21;21.21;5.805;15.405;11.04;4.204;6.836;6.605;2.848;3.757;3.138;1.314;1.824;524;136;388
22;Prov. D.I. Yogyakarta;39.515;14.274;25.241;18.524;5.586;12.938;8.691;3.383;5.308;4.39;1.818;2.572;6.721;3.145;3.576;1.189;342;847
23;Prov. Kalimantan Tengah;39.316;13.425;25.891;22.649;7.349;15.3;8.894;3.136;5.758;4.632;1.719;2.913;2.847;1.144;1.703;294;77;217
24;Prov. Sulawesi Utara;32.658;8.581;24.077;15.897;2.895;13.002;8.18;2.406;5.774;4.406;1.588;2.818;3.897;1.622;2.275;278;70;208
25;Prov. Maluku;31.368;8.999;22.369;15.026;3.907;11.119;8.039;2.369;5.67;5.798;1.824;3.974;2.365;874;1.491;140;25;115
26;Prov. Papua;30.537;13.195;17.342;15.75;6.899;8.851;7.654;3.275;4.379;4.293;1.78;2.513;2.728;1.207;1.521;112;34;78
27;Prov. Bengkulu;27.906;8.878;19.028;14.047;4.045;10.002;6.971;2.3;4.671;3.893;1.385;2.508;2.695;1.077;1.618;300;71;229
28;Prov. Kepulauan Riau;23.984;7.627;16.357;12.869;3.717;9.152;5.496;1.796;3.7;3.135;1.081;2.054;2.254;994;1.26;230;39;191
29;Prov. Sulawesi Barat;20.736;7.362;13.374;11.506;3.578;7.928;4.834;1.917;2.917;1.993;822;1.171;2.162;977;1.185;241;68;173
30;Prov. Maluku Utara;19.931;6.664;13.267;9.352;2.553;6.799;5.322;1.954;3.368;3.233;1.314;1.919;1.765;779;986;259;64;195
31;Prov. Kepulauan Bangka Belitung;15.318;5.332;9.986;8.459;2.626;5.833;3.38;1.218;2.162;1.674;685;989;1.647;767;880;158;36;122
32;Prov. Gorontalo;14.83;3.823;11.007;7.189;1.418;5.771;3.713;1.001;2.712;1.934;672;1.262;1.78;678;1.102;214;54;160
33;Prov. Papua Barat;14.156;4.995;9.161;7.089;2.311;4.778;3.656;1.368;2.288;2.189;822;1.367;1.189;489;700;33;5;28
34;Prov. Kalimantan Utara;10.164;4.112;6.052;5.457;2.059;3.398;2.473;1.035;1.438;1.316;578;738;840;411;429;78;29;49
35;Luar Negeri;835;373;462;473;180;293;255;130;125;102;60;42;5;3;2;0;0;0
Total;Total;2.720.778;949.638;1.771.140;1.434.161;433.878;1.000.283;644.284;241.805;402.479;312.332;124.724;187.608;304.126;142.39;161.736;25.875;6.841;19.034
