Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;8.036.944;4.140.445;3.896.499;4.488.193;2.321.178;2.167.015;1.781.466;906.418;875.048;690.067;300.104;389.963;1.055.021;599.636;455.385;22.197;13.109;9.088
2;Prov. Jawa Timur;5.364.879;2.800.130;2.564.749;2.835.554;1.475.281;1.360.273;1.247.016;648.845;598.171;533.057;233.819;299.238;730.441;431.017;299.424;18.811;11.168;7.643
3;Prov. Jawa Tengah;5.221.468;2.693.014;2.528.454;2.849.826;1.484.871;1.364.955;1.184.607;601.85;582.757;400.036;151.784;248.252;770.347;444.685;325.662;16.652;9.824;6.828
4;Prov. Sumatera Utara;3.054.612;1.568.635;1.485.977;1.728.479;897.823;830.656;662.371;338.245;324.126;365.061;162.274;202.787;294.162;167.628;126.534;4.539;2.665;1.874
5;Prov. Banten;2.049.300;1.061.401;987.899;1.191.102;618.362;572.74;421.649;217.18;204.469;181.787;83.013;98.774;249.485;139.59;109.895;5.277;3.256;2.021
6;Prov. Sulawesi Selatan;1.672.336;851.044;821.292;925.011;481.254;443.757;380.531;190.206;190.325;232.593;101.916;130.677;129.422;74.844;54.578;4.779;2.824;1.955
7;Prov. Sumatera Selatan;1.599.741;821.116;778.625;931.678;484.946;446.732;353.063;177.482;175.581;202.687;93.172;109.515;109.954;64.038;45.916;2.359;1.478;881
8;Prov. D.K.I. Jakarta;1.566.543;798.316;768.227;811.302;419.662;391.64;361.817;182.803;179.014;170.637;79.757;90.88;217.153;112.666;104.487;5.634;3.428;2.206
9;Prov. Lampung;1.446.928;742.669;704.259;842.564;438.67;403.894;314.264;159.016;155.248;151.374;66.561;84.813;136.932;77.37;59.562;1.794;1.052;742
10;Prov. Nusa Tenggara Timur;1.366.894;697.6;669.294;774.395;408.537;365.858;332.998;164.321;168.677;179.633;80.344;99.289;77.353;42.952;34.401;2.515;1.446;1.069
11;Prov. Riau;1.299.161;669.271;629.89;793.397;414.516;378.881;261.107;132.314;128.793;150.064;67.056;83.008;91.612;53.484;38.128;2.981;1.901;1.08
12;Prov. Sumatera Barat;1.090.510;557.869;532.641;637.722;334.848;302.874;217.078;109.263;107.815;143.852;60.307;83.545;85.53;49.461;36.069;6.328;3.99;2.338
13;Prov. Kalimantan Barat;1.011.915;518.475;493.44;591.243;310.215;281.028;235.477;117.312;118.165;119.948;55.516;64.432;63.912;34.579;29.333;1.335;853;482
14;Prov. Aceh;874.898;452.709;422.189;490.259;256.135;234.124;191.553;100.394;91.159;136.049;61.823;74.226;53.769;32.368;21.401;3.268;1.989;1.279
15;Prov. Nusa Tenggara Barat;864.466;452.147;412.319;513.196;267.263;245.933;177.936;92.782;85.154;101.948;48.966;52.982;68.194;41.268;26.926;3.192;1.868;1.324
16;Prov. Bali;776.664;405.77;370.894;397.888;207.302;190.586;194.436;100.934;93.502;86.352;43.886;42.466;96.063;52.458;43.605;1.925;1.19;735
17;Prov. Kalimantan Timur;714.677;370.254;344.423;411.113;214.729;196.384;155.454;79.435;76.019;71.937;32.225;39.712;73.951;42.385;31.566;2.222;1.48;742
18;Prov. Papua;653.883;359.094;294.789;439.516;239.929;199.587;122.206;67.039;55.167;60.835;32.354;28.481;30.722;19.421;11.301;604;351;253
19;Prov. Jambi;640.423;330.108;310.315;388.44;202.261;186.179;126.233;64.036;62.197;75.383;34.936;40.447;48.629;27.78;20.849;1.738;1.095;643
20;Prov. Kalimantan Selatan;621.308;323.154;298.154;378.721;198.058;180.663;119.855;61.792;58.063;65.397;30.135;35.262;55.255;31.873;23.382;2.08;1.296;784
21;Prov. Sulawesi Tengah;589.386;300.204;289.182;341.331;178.039;163.292;131.396;65.19;66.206;70.656;32.307;38.349;44.677;23.829;20.848;1.326;839;487
22;Prov. Sulawesi Tenggara;572.368;293.078;279.29;319.442;166.421;153.021;129.352;65.215;64.137;88.699;42.016;46.683;31.946;17.648;14.298;2.929;1.778;1.151
23;Prov. D.I. Yogyakarta;570.222;294.083;276.139;293.483;152.335;141.148;128.061;65.927;62.134;55.276;23.224;32.052;88.256;49.477;38.779;5.146;3.12;2.026
24;Prov. Kalimantan Tengah;484.825;250.962;233.863;286.355;150.088;136.267;108.67;55.17;53.5;56.319;26.665;29.654;32.464;18.416;14.048;1.017;623;394
25;Prov. Sulawesi Utara;470.147;241.685;228.462;240.293;125.726;114.567;119.852;60.937;58.915;59.089;28.5;30.589;49.593;25.735;23.858;1.32;787;533
26;Prov. Maluku;415.15;215.223;199.927;227.328;119.321;108.007;96.927;50.138;46.789;68.914;33.589;35.325;21.089;11.613;9.476;892;562;330
27;Prov. Kepulauan Riau;384.746;197.866;186.88;225.839;117.438;108.401;86.629;43.851;42.778;41.732;18.708;23.024;29.304;17.107;12.197;1.242;762;480
28;Prov. Bengkulu;379.462;196.201;183.261;213.2;112.068;101.132;89.59;45.438;44.152;48.217;21.601;26.616;27.237;16.343;10.894;1.218;751;467
29;Prov. Sulawesi Barat;278.144;141.73;136.414;159.735;83.92;75.815;62.455;30.554;31.901;28.661;12.592;16.069;26.021;13.923;12.098;1.272;741;531
30;Prov. Maluku Utara;275.192;141.889;133.303;158.447;83.005;75.442;61.079;30.947;30.132;38.029;18.544;19.485;16.683;8.826;7.857;954;567;387
31;Prov. Kepulauan Bangka Belitung;270.101;138.053;132.048;159.905;83.351;76.554;59.846;30.03;29.816;25.919;11.519;14.4;23.536;12.614;10.922;895;539;356
32;Prov. Papua Barat;222.381;116.564;105.817;135.859;71.367;64.492;47.271;24.524;22.747;26.392;13.089;13.303;12.649;7.459;5.19;210;125;85
33;Prov. Gorontalo;219.142;110.359;108.783;122.378;63.528;58.85;50.24;24.425;25.815;26.843;11.521;15.322;18.715;10.299;8.416;966;586;380
34;Prov. Kalimantan Utara;134.085;69.065;65.02;77.97;40.798;37.172;30.804;15.669;15.135;16.004;7.541;8.463;8.946;4.818;4.128;361;239;122
35;Luar Negeri;16.257;8.299;7.958;10.976;5.687;5.289;4.569;2.282;2.287;712;330;382;0;0;0;0;0;0
Total;Total;45.209.158;23.328.482;21.880.676;25.392.140;13.228.932;12.163.208;10.047.858;5.121.964;4.925.894;4.770.159;2.121.694;2.648.465;4.869.023;2.777.610;2.091.413;129.978;78.282;51.696
