Indikator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011***);2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTISIPASI PENDIDIKAN FORMAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 7-12 th; 94.06 ; 93.94 ; 94.43 ; 95.37 ; 95.06 ; 95.34 ; 95.50 ; 95.61 ; 96.10 ; 96.42 ; 96.77 ; 97.14 ; 97.39 ; 97.60 ; 97.83 ; 97.95 ; 97.97 ; 97.53 ; 97.94 ; 98.34 ; 98.83 ; 98.57 ; 98.98 ; 99.08 ; 99.11 ;99.17;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 13-15 th; 72.39 ; 73.20 ; 75.84 ; 77.51 ; 77.16 ; 79.04 ; 79.58 ; 79.35 ; 79.21 ; 81.01 ; 83.49 ; 84.02 ; 84.08 ; 84.26 ; 84.41 ; 85.43 ; 86.11 ; 87.79 ; 89.61 ; 90.62 ; 94.32 ; 94.25 ; 94.79 ; 94.98 ; 95.23 ;95.43;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 16-18 th; 45.31 ; 44.65 ; 47.59 ; 48.64 ; 49.28 ; 51.14 ; 51.17 ; 49.18 ; 49.76 ; 50.97 ; 53.48 ; 53.86 ; 53.92 ; 54.61 ; 54.70 ; 55.05 ; 55.83 ; 57.69 ; 61.30 ; 63.64 ; 70.13 ; 70.26 ; 70.68 ; 71.20 ; 71.82 ;71.92;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 19-24 th; 12.80 ; 11.53 ; 11.96 ; 11.64 ; 12.10 ; 12.70 ; 12.31 ; 11.81 ; 11.62 ; 11.71 ; 12.07 ; 12.23 ; 11.38 ; 12.20 ; 12.43 ; 12.66 ; 13.67 ; 14.47 ; 15.94 ; 20.04 ; 22.74 ; 22.77 ; 23.80 ; 24.67 ; 24.29 ;23.28;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SD/MI; 107.13 ; 107.00 ; 107.19 ; 108.04 ; 107.60 ; 108.10 ; 107.68 ; 107.21 ; 105.99 ; 105.82 ; 107.13 ; 106.63 ; 109.96 ; 110.35 ; 109.41 ; 110.35 ; 111.63 ; 102.42 ; 104.23 ; 107.63 ; 108.78 ; 109.94 ; 109.20 ; 108.43 ; 108.48 ;107.36;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SMP/MTs; 64.36 ; 65.65 ; 70.46 ; 74.18 ; 73.14 ; 76.08 ; 77.62 ; 78.10 ; 79.81 ; 81.09 ; 82.24 ; 82.09 ; 81.87 ; 82.03 ; 81.38 ; 81.09 ; 80.35 ; 89.37 ; 89.29 ; 85.69 ; 88.43 ; 90.63 ; 89.98 ; 90.00 ; 91.23 ;90.20;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SM/MA; 43.04 ; 42.43 ; 44.87 ; 46.57 ; 47.17 ; 48.37 ; 50.22 ; 46.47 ; 48.00 ; 50.89 ; 54.38 ; 55.21 ; 56.69 ; 56.71 ; 57.42 ; 62.37 ; 62.53 ; 64.10 ; 68.45 ; 66.27 ; 73.95 ; 77.39 ; 80.44 ; 82.25 ; 80.11 ;79.94;;;;;;;;;;;
Angka Partisipasi Kasar (APK) PT; 10.14 ; 9.55 ; 10.37 ; 9.69 ; 10.64 ; 10.67 ; 10.26 ; 10.36 ; 10.54 ; 10.84 ; 10.73 ; 11.06 ; 12.16 ; 13.31 ; 14.42 ; 14.59 ; 16.35 ; 18.06 ; 18.85 ; 23.06 ; 25.76 ; 20.89 ; 23.44 ; 25.00 ; 25.12 ;25.13;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Murni (APM) SD/MI; 92.11 ; 91.45 ; 91.46 ; 92.34 ; 92.09 ; 92.70 ; 92.28 ; 92.88 ; 92.70 ; 92.55 ; 93.04 ; 93.25 ; 93.54 ; 93.75 ; 93.99 ; 94.37 ; 94.72 ; 90.98 ; 92.47 ; 95.52 ; 96.37 ; 96.20 ; 96.71 ; 97.14 ; 97.48 ;97.58;;;;;;;;;;;
Angka Partisipasi Murni (APM) SMP/MTs; 50.03 ; 50.96 ; 54.53 ; 57.84 ; 56.96 ; 59.23 ; 60.27 ; 60.47 ; 61.64 ; 63.49 ; 65.24 ; 65.37 ; 66.52 ; 66.64 ; 66.98 ; 67.40 ; 67.62 ; 68.22 ; 70.82 ; 73.73 ; 77.43 ; 77.45 ; 77.89 ; 78.30 ; 78.75 ;79.35;;;;;;;;;;;
Angka Partisipasi Murni (APM) SM/MA; 33.22 ; 32.60 ; 34.80 ; 36.61 ; 37.23 ; 38.49 ; 39.33 ; 37.13 ; 38.11 ; 40.56 ; 42.96 ; 43.50 ; 43.77 ; 44.56 ; 44.75 ; 45.06 ; 45.48 ; 47.93 ; 51.77 ; 54.12 ; 59.24 ; 59.46 ; 59.85 ; 60.19 ; 60.53 ;60.70;;;;;;;;;;;
Angka Partisipasi Murni (APM) PT; 7.92 ; 7.15 ; 7.68 ; 7.68 ; 8.04 ; 8.23 ; 7.95 ; 7.99 ; 8.09 ; 8.55 ; 8.57 ; 8.71 ; 8.87 ; 9.64 ; 10.07 ; 10.30 ; 11.01 ; 12.56 ; 13.48 ; 18.08 ; 20.18 ; 17.34 ; 17.91 ; 18.62 ; 18.59 ;18.85;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTISIPASI PENDIDIKAN FORMAL DAN NONFORMAL**);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 7-12 th; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 97.64 ; 97.88 ; 97.95 ; 98.02 ; 97.62 ; 98.02 ; 98.42 ; 98.92 ; 99.09 ; 99.09 ; 99.14 ; 99.22 ;99.24;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 13-15 th; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 84.65 ; 84.89 ; 85.47 ; 86.24 ; 87.99 ; 89.76 ; 90.81 ; 94.44 ; 94.72 ; 94.88 ; 95.08 ; 95.36 ;95.51;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 16-18 th; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 55.49 ; 55.50 ; 55.16 ; 56.01 ; 57.95 ; 61.49 ; 63.84 ; 70.31 ; 70.61 ; 70.83 ; 71.42 ; 71.99 ;72.36;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 19-24 th; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 13.08 ; 13.29 ; 12.72 ; 13.77 ; 14.82 ; 16.05 ; 20.14 ; 22.82 ; 22.95 ; 23.93 ; 24.77 ; 27.92 ;25.21;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SD/MI/Paket A; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 112.19 ; 111.12 ; 110.42 ; 111.68 ; 102.57 ; 104.33 ; 107.71 ; 108.87 ; 110.50 ; 109.31 ; 108.50 ; 108.61 ;107.46;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SMP/MTs/Paket B; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 86.37 ; 86.86 ; 81.25 ; 80.59 ; 89.83 ; 89.49 ; 85.96 ; 88.63 ; 91.17 ; 90.12 ; 90.23 ; 91.52 ;90.57;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SM/MA/Paket C; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 59.46 ; 59.06 ; 62.55 ; 62.85 ; 64.90 ; 68.80 ; 66.61 ; 74.26 ; 78.02 ; 80.89 ; 82.84 ; 80.68 ;83.98;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Murni (APM) SD/MI/Paket A; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 93.78 ; 93.99 ; 94.37 ; 94.76 ; 91.07 ; 92.54 ; 95.59 ; 96.45 ; 96.70 ; 96.82 ; 97.19 ; 97.58 ;97.64;;;;;;;;;;;
Angka Partisipasi Murni (APM) SMP/MTs/Paket B; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 66.90 ; 67.39 ; 67.43 ; 67.73 ; 68.36 ; 70.93 ; 73.88 ; 77.53 ; 77.82 ; 77.95 ; 78.40 ; 78.84 ;79.40;;;;;;;;;;;
Angka Partisipasi Murni (APM) SM/MA/Paket C; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; * ; 44.84 ; 44.97 ; 45.11 ; 45.59 ; 48.07 ; 51.88 ; 54.25 ; 59.35 ; 59.71 ; 59.95 ; 60.37 ; 60.67 ;60.84;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pendidikan yang Ditamatkan Penduduk 15 Tahun ke Atas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tidak/belum sekolah; 13.79 ; 14.47 ; 13.63 ; 11.93 ; 11.54 ; 11.23 ; 11.00 ; 11.65 ; 9.81 ; 9.62 ; 8.98 ; 8.85 ; 8.34 ; 8.59 ; 8.24 ; 7.50 ; 7.28 ; 6.73 ; 6.11 ; 5.77 ; 5.47 ; 5.90 ; 3.90 ; 4.62 ; 4.38 ;3.96;;;;;;;;;;;
Tidak tamat SD; 22.34 ; 23.04 ; 20.88 ; 19.49 ; 19.49 ; 18.71 ; 18.04 ; 17.53 ; 16.17 ; 15.74 ; 15.31 ; 15.23 ; 14.99 ; 14.42 ; 14.98 ; 14.86 ; 12.74 ; 15.08 ; 14.30 ; 14.13 ; 13.67 ; 12.62 ; 12.27 ; 12.39 ; 13.64 ;12.66;;;;;;;;;;;
SD/sederajat; 32.82 ; 31.71 ; 32.73 ; 33.11 ; 33.16 ; 32.57 ; 32.33 ; 33.03 ; 33.40 ; 33.22 ; 31.87 ; 32.07 ; 31.00 ; 30.43 ; 29.08 ; 29.31 ; 29.72 ; 28.48 ; 28.09 ; 28.18 ; 27.41 ; 27.79 ; 33.08 ; 28.03 ; 25.63 ;25.13;;;;;;;;;;;
SMP/sederajat; 14.51 ; 14.17 ; 15.05 ; 16.43 ; 16.27 ; 16.97 ; 17.54 ; 17.07 ; 18.21 ; 19.00 ; 20.12 ; 19.48 ; 19.88 ; 19.83 ; 20.23 ; 19.85 ; 20.57 ; 20.21 ; 20.59 ; 20.51 ; 20.82 ; 21.44 ; 16.49 ; 21.71 ; 21.24 ;22.31;;;;;;;;;;;
SM +/sederajat; 16.53 ; 16.61 ; 17.71 ; 19.04 ; 19.55 ; 20.51 ; 21.09 ; 20.71 ; 22.41 ; 22.41 ; 23.72 ; 24.37 ; 25.78 ; 26.73 ; 27.46 ; 28.49 ; 29.69 ; 29.50 ; 30.91 ; 31.41 ; 32.64 ; 32.25 ; 34.27 ; 33.25 ; 35.11 ;35.95;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partisipasi Pra Sekolah (sedang);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usia 3-4 th; * ; * ; * ; * ; * ; * ; * ; 14.46 ; 13.38 ; 12.78 ; 12.96 ; 14.58 ; 15.23 ; 12.26 ; 13.45 ; 17.15 ; 19.41 ; 15.95 ; 18.20 ; 18.02 ; 19.46 ; 22.34 ; 20.66 ; 19.24 ; 21.67 ;18.57;;;;;;;;;;;
Usia 5-6 th; * ; * ; * ; * ; * ; * ; * ; 29.03 ; 24.84 ; 23.79 ; 24.08 ; 26.54 ; 23.74 ; 21.83 ; 27.07 ; 27.22 ; 27.19 ; 33.40 ; 35.54 ; 37.18 ; 39.25 ; 47.51 ; 48.00 ; 49.39 ; 55.38 ;55.61;;;;;;;;;;;
Usia 3-6 th; * ; * ; * ; * ; * ; * ; * ; 21.96 ; 19.25 ; 18.27 ; 18.36 ; 20.64 ; 19.53 ; 16.71 ; 20.23 ; 22.04 ; 23.22 ; 24.50 ; 26.72 ; 27.55 ; 32.68 ; 35.28 ; 34.69 ; 34.36 ; 38.61 ;37.43;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partisipasi Pra Sekolah (pernah + sedang);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usia 3-4 th; * ; * ; * ; * ; * ; * ; * ; 14.46 ; 13.38 ; 12.78 ; 12.96 ; 14.58 ; 15.23 ; 14.68 ; 16.09 ; 20.19 ; 22.59 ; 19.70 ; 22.09 ; 22.20 ; 23.83 ; 24.01 ; 22.16 ; 20.41 ; 22.25 ;19.26;;;;;;;;;;;
Usia 5-6 th; * ; * ; * ; * ; * ; * ; * ; 35.02 ; 32.37 ; 32.39 ; 33.21 ; 34.85 ; 37.77 ; 37.57 ; 41.78 ; 49.41 ; 53.38 ; 54.61 ; 57.38 ; 59.83 ; 62.67 ; 71.70 ; 71.46 ; 71.82 ; 74.20 ;73.31;;;;;;;;;;;
Usia 3-6 th; * ; * ; * ; * ; * ; * ; * ; 25.04 ; 23.11 ; 22.56 ; 22.80 ; 24.85 ; 26.64 ; 25.32 ; 28.87 ; 34.39 ; 37.68 ; 36.81 ; 39.43 ; 40.92 ; 46.92 ; 48.52 ; 47.45 ; 46.20 ; 48.35 ;46.79;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUTA HURUF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Buta Huruf10 th +; 12.74 ; 13.74 ; 12.65 ; 10.93 ; 10.58 ; 10.21 ; 10.08 ; 10.73 ; 9.29 ; 9.07 ; 8.53 ; 8.09 ; 7.61 ; 7.26 ; 6.95 ; 6.59 ; 6.34 ; 6.80 ; 6.28 ; 5.46 ; 4.39 ; 4.27 ; 4.19 ; 4.08 ; 3.93 ;3.70;;;;;;;;;;;
Angka Buta Huruf15 th +; 14.84 ; 15.95 ; 14.66 ; 12.59 ; 12.11 ; 11.63 ; 11.42 ; 12.11 ; 10.49 ; 10.21 ; 9.62 ; 9.09 ; 8.55 ; 8.13 ; 7.81 ; 7.42 ; 7.09 ; 7.56 ; 7.03 ; 6.08 ; 4.88 ; 4.78 ; 4.62 ; 4.50 ; 4.34 ;4.10;;;;;;;;;;;
Angka Buta Huruf15-44 th; 6.90 ; 7.45 ; 6.89 ; 5.54 ; 5.15 ; 4.63 ; 4.50 ; 4.78 ; 3.75 ; 3.88 ; 3.30 ; 3.09 ; 2.89 ; 2.96 ; 1.95 ; 1.80 ; 1.71 ; 2.31 ; 2.03 ; 1.61 ; 1.24 ; 1.10 ; 1.00 ; 0.94 ; 0.86 ;0.76;;;;;;;;;;;
Angka Buta Huruf45 th +; 36.06 ; 37.80 ; 34.54 ; 31.00 ; 29.74 ; 28.83 ; 28.54 ; 30.31 ; 26.84 ; 25.43 ; 24.87 ; 22.83 ; 21.09 ; 18.94 ; 19.59 ; 18.68 ; 18.25 ; 18.15 ; 17.17 ; 15.15 ; 12.25 ; 11.89 ; 11.47 ; 11.08 ; 10.60 ;9.92;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sumber: BPS-RI, Susenas 1994-2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ket: * data tidak tersedia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
** Pendidikan non formalyang dicakup adalah paket A setara SD/MI, paket B setara SMP/MTs dan paket C setara SM/SMK/MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*** Kenaikan Angka Buta Huruf serta penurunan beberapa indikator pendidikan perbandingan tahun 2010 dan 2011 disebabkan:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Perbedaan metodologi penghitungan estimasi. Pada tahun 2010, penghitungan inflate tidak didasarkan pada kelompok umur 5 tahunan (0-4, 5-9, 10-14,..);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sedangkan pada tahun 2011, penghitungan inflatenya berdasarkan kelompok umur 5 tahunan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Pengumpulan data pada tahun 2010 dilakukan 1 (satu) kali dalam setahun yaitu pada bulan Juli, sedangkan pada tahun 2011 dilakukan triwulanan. Hal ini mempengaruhi penghitungan indikator pendidikan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
karena tahun ajaran sekolah yang dimulai pada bulan Juli berakhir pada bulan Juni tahun berikutnya.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Data tahun 2011-2017 diestimasi dengan menggunakan inflate hasil back-casting berdasarkan proyeksi penduduk Indonesia 2010-2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
